Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,WIPRO,337.45,339.25,345.0,338.45,341.0,340.7,341.18,11496123,392229747740000.0,87031.0,3007101.0,0.2616,340.0,345.0,338.6,340.65,341.328090940263,326632,6483,111488677.0,84444.0,25.85,6.4,0.65
2020-10-29,WIPRO,335.65,333.65,340.0,331.15,339.4,337.45,335.96,7239961,243233101355000.03,85115.0,1682867.0,0.2324,333.75,339.8,331.2,337.55,335.7105713537448,164189,3186,55119983.0,35214.0,21.45,8.6,3.8
2020-10-28,WIPRO,334.05,335.75,339.85,334.4,335.0,335.65,337.29,8984606,303045866655000.0,88757.0,2797421.0,0.3114,335.0,339.8,334.45,335.6,335.5437365231669,855635,7257,287102965.0,614107.0,71.77,5.35,0.6
2020-10-27,WIPRO,339.8,338.3,339.75,331.05,334.85,334.05,333.74,9910942,330767823915000.0,126234.0,3824967.0,0.3859,338.1,339.55,331.15,334.15,333.5588841830625,279795,4924,93328108.0,149156.0,53.31,8.4,-3.95
2020-10-26,WIPRO,342.4,343.7,344.9,336.7,339.4,339.8,341.19,8695206,296668575710000.0,71038.0,3422947.0,0.3937,343.3,344.85,336.7,339.7,341.2763804197898,320446,7131,109360651.0,106228.0,33.15,8.15,-3.6
2020-10-23,WIPRO,344.45,346.9,347.1,341.3,342.45,342.4,344.42,8673514,298733358510000.0,82630.0,3858558.0,0.4449,346.1,347.75,341.3,342.4,344.4151466215801,276801,6281,95334457.0,101600.0,36.7,6.45,-3.7
2020-10-22,WIPRO,343.45,341.0,348.2,340.85,344.0,344.45,344.51,9541284,328705670880000.0,102317.0,2563473.0,0.2687,340.5,348.3,340.5,344.55,344.40186813186807,318500,7543,109691995.0,94877.0,29.79,7.8,4.05
2020-10-21,WIPRO,346.75,349.6,350.1,339.1,343.3,343.45,344.94,9967721,343827988110000.0,88264.0,2303653.0,0.2311,349.6,350.15,339.1,343.5,345.06617308930373,413174,9229,142572371.0,123723.0,29.94,11.05,-6.1
2020-10-20,WIPRO,343.2,344.75,349.5,341.85,347.0,346.75,347.12,16996774,589986959305000.0,180766.0,3638946.0,0.2141,344.5,349.5,342.25,346.75,347.07145927674065,579239,10208,201037325.0,149721.0,25.85,7.25,2.25
2020-10-19,WIPRO,339.65,342.45,346.5,338.65,343.6,343.2,342.86,12848026,440510769575000.0,115688.0,2426799.0,0.1889,343.0,346.4,338.75,343.25,342.96589567291403,339605,5256,116472933.0,64811.0,19.08,7.65,0.25
2020-10-16,WIPRO,341.6,342.9,348.1,338.6,339.1,339.65,342.55,25245262,864785636360000.0,172325.0,2710082.0,0.1074,342.9,348.1,338.85,339.55,342.5312655125452,707089,8933,242200090.0,77772.0,11.0,9.25,-3.35
2020-10-15,WIPRO,350.45,351.0,354.25,338.95,341.5,341.6,343.14,38961585,1336938991610000.0,250198.0,3255963.0,0.0836,350.6,354.1,339.2,341.5,346.14306365206244,1461021,14370,505722285.0,659311.0,45.13,14.9,-9.1
2020-10-14,WIPRO,375.95,365.0,365.0,348.3,349.4,350.45,353.61,74138275,2621597935765000.0,467861.0,9420306.0,0.12710000000000002,366.6,366.6,348.5,350.15,353.6423521316497,2098539,29023,742132268.0,367482.0,17.51,18.1,-16.45
2020-10-13,WIPRO,377.5,377.3,381.7,372.95,375.2,375.95,376.79,36092383,1359917912260000.0,216493.0,5628727.0,0.156,378.0,381.7,373.0,375.75,376.6514029938232,1576379,20031,593745362.0,351012.0,22.27,8.7,-2.25
2020-10-12,WIPRO,374.0,377.0,379.8,369.1,379.5,377.5,375.58,52966063,1989279136405000.0,302749.0,6456381.0,0.1219,378.0,379.7,369.5,377.55,375.4206438996288,2305204,29813,865421170.0,474894.0,20.6,10.2,-0.45
2020-10-09,WIPRO,359.45,362.0,376.1,357.25,375.25,374.0,365.8,55431052,2027640405340000.0,316848.0,8233248.0,0.1485,363.0,375.85,355.0,374.1,365.717465002895,2217612,29762,811019439.0,444777.0,20.06,20.85,11.1
2020-10-08,WIPRO,335.3,351.0,367.75,346.45,359.9,359.45,357.55,107270570,3835413105405001.0,589024.0,14313852.0,0.1334,348.7,367.75,346.8,359.45,357.4696906583497,2866410,34268,1024654696.0,308226.0,10.75,20.95,10.75
2020-10-07,WIPRO,330.05,327.0,336.55,325.5,336.0,335.3,330.18,17739988,585744082390000.0,114265.0,3648298.0,0.2057,329.0,336.5,325.55,335.25,330.7747475444,522072,6385,172688234.0,105068.0,20.13,10.95,6.25
2020-10-06,WIPRO,333.95,335.0,335.3,323.0,329.55,330.05,328.06,27579966,904794705305000.0,178560.0,4801644.0,0.1741,333.15,335.95,323.0,330.0,328.0897051276412,1022985,13948,335630847.0,373237.0,36.48,12.95,-3.15
2020-10-05,WIPRO,313.05,315.2,336.0,315.2,335.0,333.95,329.85,38906392,1283313094155000.0,266655.0,5909397.0,0.1519,315.75,335.9,315.45,334.05,329.16670142582484,1620676,21627,533472573.0,672714.0,41.51,20.45,18.3
2020-10-01,WIPRO,313.55,316.4,317.85,312.05,313.3,313.05,314.8,9257331,291423096825000.0,57759.0,1636280.0,0.1768,315.25,317.75,312.05,313.0,314.7224710630183,248039,4651,78063447.0,70196.0,28.3,5.7,-2.25
2020-09-30,WIPRO,311.5,312.0,315.85,309.6,313.25,313.55,312.99,12393317,387898907115000.0,69964.0,1964151.0,0.1585,313.7,315.7,309.65,313.6,311.4130043095632,777573,3265,242146344.0,564506.0,72.6,6.05,-0.1
2020-09-29,WIPRO,311.55,315.0,318.55,310.5,312.0,311.5,313.83,14830395,465425044685000.06,98969.0,2212955.0,0.1492,312.55,318.5,310.5,311.4,313.8175927439585,354794,4356,111340599.0,43931.0,12.38,8.0,-1.15
2020-09-28,WIPRO,313.9,315.0,317.0,309.6,311.55,311.55,312.82,12460913,389798519940000.0,81707.0,1571300.0,0.1261,315.7,317.0,309.65,311.55,312.75658430082643,349012,7015,109155801.0,65335.0,18.72,7.35,-4.15
2020-09-25,WIPRO,304.7,306.3,315.25,304.2,313.9,313.9,309.64,22007095,681435249655000.0,128587.0,4431040.0,0.2013,306.45,315.0,304.3,313.9,309.8423993985221,417638,6311,129401960.0,55617.0,13.32,10.7,7.45
2020-09-24,WIPRO,314.85,313.4,313.4,302.45,304.0,304.7,308.07,17920812,552086814305000.0,146194.0,5088256.0,0.2839,314.25,314.25,302.15,304.6,309.4645190402663,709155,4570,219458311.0,48795.0,6.88,12.1,-9.65
2020-09-23,WIPRO,312.25,315.0,321.8,311.15,314.4,314.85,316.62,22139808,700983929400000.0,154893.0,2889677.0,0.1305,315.0,321.7,311.2,314.5,316.63403021957765,650704,10154,206035030.0,122860.0,18.88,10.5,-0.5
2020-09-22,WIPRO,311.9,315.4,316.75,303.95,313.0,312.25,311.43,23510335,732187038255000.0,171025.0,4286458.0,0.1823,315.25,318.7,303.75,312.25,310.97026840066405,1228760,16060,382107827.0,234476.0,19.08,14.95,-3.0
2020-09-21,WIPRO,316.5,315.9,324.5,309.95,311.05,311.9,318.72,22739047,724741209520000.0,175149.0,2787002.0,0.1226,316.45,324.55,310.05,311.95,318.570991160551,800163,16023,254908720.0,208046.0,26.0,14.5,-4.5
2020-09-18,WIPRO,311.7,314.0,319.0,312.25,317.25,316.5,316.34,18487980,584846335840000.0,119793.0,5141610.0,0.2781,314.55,318.85,312.45,316.5,316.3585560782177,407529,5838,128925286.0,82930.0,20.35,6.4,1.95
2020-09-17,WIPRO,312.15,307.25,316.7,307.2,310.9,311.7,313.43,26811653,840369296375000.0,194513.0,5737510.0,0.214,307.0,316.7,307.0,311.65,313.2500934721057,607133,7502,190184469.0,123832.0,20.4,9.7,4.65
2020-09-16,WIPRO,307.35,307.0,313.5,304.05,312.5,312.15,308.55,14994220,462647351030000.0,113140.0,3345405.0,0.2231,307.0,313.45,304.1,312.1,308.2320276831097,649638,8287,200239238.0,326470.0,50.25,9.35,5.1
2020-09-15,WIPRO,307.2,307.2,311.25,302.75,306.6,307.35,307.58,28156339,866035776465000.0,180867.0,4335265.0,0.154,307.4,311.15,302.75,307.3,307.431015720191,752599,10305,231372275.0,133142.0,17.69,8.4,-0.1
2020-09-14,WIPRO,293.3,293.25,308.55,293.15,306.1,307.2,302.29,38090115,1151419742340000.0,267168.0,6867003.0,0.1803,294.0,308.3,293.05,307.15,302.13267346412806,1187306,13361,358723936.0,359324.0,30.26,15.25,13.15
2020-09-11,WIPRO,284.55,282.5,298.45,282.5,292.55,293.3,293.81,41937351,1232177844525000.0,262985.0,5261249.0,0.1255,282.65,298.3,282.65,293.05,293.3960475369902,1548857,21060,454428522.0,571584.0,36.9,15.65,10.4
