Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,BAJFINANCE,3380.05,3364.95,3391.0,3252.85,3300.0,3309.0,3310.33,4287635.0,1419349437285000.0,194697.0,545403.0,0.1272,3378.0,3392.4,3255.0,3307.65,3308.8650365249373,117454.0,11346.0,388639434.0,18090.0,15.4,137.4,-70.35
2020-10-29,BAJFINANCE,3370.8,3367.8,3432.0,3333.75,3375.0,3380.05,3380.32,3780452.0,1277913297900000.0,156011.0,275256.0,0.0728,3362.0,3432.55,3333.0,3379.6,3384.070443740817,109591.0,8993.0,370863664.0,8986.0,8.2,99.55,17.6
2020-10-28,BAJFINANCE,3453.25,3448.95,3489.9,3347.9,3372.0,3370.8,3423.75,4649120.0,1591743535195000.0,221960.0,768413.0,0.1653,3453.0,3488.95,3350.0,3370.35,3433.5271386719483,265562.0,22778.0,911814334.0,120252.0,45.28,138.95,-82.65
2020-10-27,BAJFINANCE,3293.9,3326.0,3465.0,3278.0,3438.25,3453.25,3393.17,6020950.0,2043010398025000.0,323879.0,1393676.0,0.2315,3325.0,3465.0,3277.05,3453.75,3397.8317678881403,187806.0,18328.0,638133193.0,53268.0,28.36,187.95,128.75
2020-10-26,BAJFINANCE,3316.9,3330.0,3330.0,3236.65,3294.0,3293.9,3275.55,3546292.0,1161604766770000.0,161930.0,664033.0,0.1872,3343.0,3343.0,3238.9,3292.6,3275.2957265221557,129356.0,15584.0,423679154.0,22632.0,17.5,104.1,-50.4
2020-10-23,BAJFINANCE,3314.45,3331.4,3356.8,3303.0,3314.0,3316.9,3334.25,3204780.0,1068554247875000.0,128488.0,466961.0,0.1457,3328.35,3355.5,3304.0,3317.35,3334.3448296073993,85303.0,6618.0,284429617.0,14238.0,16.69,51.5,-11.0
2020-10-22,BAJFINANCE,3232.85,3160.0,3345.0,3150.0,3307.0,3314.45,3287.16,7085782.0,2329207685120000.0,270570.0,1114228.0,0.1572,3161.0,3344.0,3155.0,3313.15,3292.3899273692273,309373.0,29314.0,1018576549.0,100076.0,32.35,189.0,152.15
2020-10-21,BAJFINANCE,3262.15,3270.0,3295.0,3101.35,3252.0,3232.85,3215.44,7536460.0,2423305168860000.0,320452.0,561760.0,0.0745,3279.0,3295.0,3101.6,3233.25,3209.0775655772522,237773.0,21519.0,763032000.0,27568.0,11.59,193.4,-45.75
2020-10-20,BAJFINANCE,3267.2,3255.0,3289.5,3226.8,3252.0,3262.15,3261.09,3252493.0,1060668206545000.0,137008.0,296963.0,0.0913,3262.0,3288.0,3229.0,3262.1,3261.8720273483946,100920.0,8567.0,329188125.0,8184.0,8.11,59.0,0.1
2020-10-19,BAJFINANCE,3231.35,3255.1,3294.7,3196.6,3258.55,3267.2,3247.1,4206802.0,1365990071810000.0,189366.0,847463.0,0.2015,3243.0,3294.9,3196.7,3266.9,3245.102645699575,161205.0,13594.0,523126772.0,15320.0,9.5,98.2,23.9
2020-10-16,BAJFINANCE,3214.75,3236.35,3269.45,3170.1,3228.0,3231.35,3231.46,5076251.0,1640367790715000.0,195389.0,476807.0,0.0939,3299.9,3299.9,3170.8,3230.15,3230.6445820771964,128038.0,11189.0,413645271.0,16328.0,12.75,129.1,-69.75
2020-10-15,BAJFINANCE,3372.05,3368.2,3370.0,3201.0,3204.0,3214.75,3281.93,5268171.0,1728978353240000.2,231546.0,971202.0,0.1844,3370.0,3375.0,3200.0,3213.7,3303.001821236698,241045.0,14861.0,796172074.0,118993.0,49.37,175.0,-156.3
2020-10-14,BAJFINANCE,3272.6,3268.0,3382.35,3232.7,3364.5,3372.05,3310.05,5304447.0,1755798655059999.8,185551.0,642179.0,0.1211,3252.5,3381.7,3232.05,3371.5,3313.4480861792345,239965.0,23649.0,795111570.0,81864.0,34.11,149.65,119.0
2020-10-13,BAJFINANCE,3327.2,3319.95,3340.0,3243.65,3274.0,3272.6,3285.83,3777675.0,1241279646810000.0,153498.0,434476.0,0.115,3325.0,3339.7,3245.0,3273.2,3286.687670352675,96491.0,8975.0,317135780.0,15738.0,16.31,94.7,-51.8
2020-10-12,BAJFINANCE,3317.9,3350.0,3379.4,3305.0,3327.05,3327.2,3333.01,3204677.0,1068120902995000.0,124019.0,208176.0,0.065,3353.0,3380.0,3305.7,3325.1,3333.794785760645,81661.0,6553.0,272241016.0,11017.0,13.49,74.3,-27.9
2020-10-09,BAJFINANCE,3326.45,3324.9,3418.45,3305.0,3325.15,3317.9,3358.45,5684150.0,1908993856340000.0,217923.0,912568.0,0.1605,3333.7,3417.7,3305.1,3317.7,3361.098858420619,203928.0,13346.0,685422168.0,20457.0,10.03,112.6,-16.0
2020-10-08,BAJFINANCE,3331.15,3354.0,3388.0,3302.0,3324.9,3326.45,3345.3,4461846.0,1492619708640000.0,175638.0,578670.0,0.1297,3349.0,3398.0,3303.85,3325.8,3344.5595223083137,214113.0,21140.0,716113673.0,52011.0,24.29,94.15,-23.2
2020-10-07,BAJFINANCE,3474.3,3400.0,3400.0,3285.3,3333.0,3331.15,3335.29,6571280.0,2191713435365000.0,293536.0,1182834.0,0.18,3415.0,3415.0,3286.0,3331.2,3335.14240969326,237856.0,27525.0,793283633.0,63519.0,26.7,129.0,-83.8
2020-10-06,BAJFINANCE,3382.9,3439.9,3480.0,3391.2,3470.0,3474.3,3442.98,4758841.0,1638460185655000.0,183219.0,665357.0,0.1398,3440.0,3480.0,3392.05,3474.4,3445.6337001555803,175471.0,12730.0,604608791.0,41446.0,23.62,87.95,34.4
2020-10-05,BAJFINANCE,3442.8,3465.0,3519.0,3370.25,3379.95,3382.9,3426.65,4207264.0,1441683408730000.0,171869.0,464426.0,0.1104,3460.0,3518.0,3370.0,3379.85,3430.344380210484,179206.0,19027.0,614738295.0,31736.0,17.71,148.0,-80.15
2020-10-01,BAJFINANCE,3278.6,3325.0,3460.0,3315.05,3444.0,3442.8,3406.9,5382106.0,1833631321215000.0,206716.0,733573.0,0.1363,3400.0,3458.65,3317.6,3444.05,3406.430682324532,139142.0,13704.0,473977578.0,31892.0,22.92,141.05,44.05
2020-09-30,BAJFINANCE,3294.75,3293.9,3343.85,3260.0,3265.0,3278.6,3303.74,3603553.0,1190519575795000.0,143717.0,280188.0,0.07780000000000001,3300.0,3343.65,3259.9,3277.25,3296.299180103255,182462.0,8402.0,601449341.0,86687.0,47.51,83.75,-22.75
2020-09-29,BAJFINANCE,3335.15,3358.0,3372.0,3254.5,3287.0,3294.75,3299.72,4643491.0,1532223704705000.0,180730.0,273340.0,0.0589,3359.45,3372.25,3254.3,3293.1,3296.806923771933,210290.0,20539.0,693285528.0,28141.0,13.38,117.95,-66.35
2020-09-28,BAJFINANCE,3138.95,3178.0,3350.0,3162.75,3340.0,3335.15,3289.5,5588695.0,1838400745920000.0,215213.0,541817.0,0.0969,3195.0,3349.0,3165.25,3335.75,3295.8860654844684,156037.0,13332.0,514280174.0,15786.0,10.12,183.75,140.75
2020-09-25,BAJFINANCE,3028.9,3080.0,3167.15,3028.8,3132.0,3138.95,3103.63,6232618.0,1934371757220000.0,254473.0,912862.0,0.14650000000000002,3089.5,3164.75,3031.5,3138.25,3101.7478799300043,148580.0,13060.0,460857700.0,16596.0,11.17,133.25,48.75
2020-09-24,BAJFINANCE,3243.85,3191.0,3194.75,3006.9,3030.65,3028.9,3090.37,5963849.0,1843050128340000.0,285795.0,1290483.0,0.2164,3205.0,3205.0,3008.85,3027.9,3095.990109460273,161063.0,15668.0,498649455.0,35219.0,21.87,196.15,-177.1
2020-09-23,BAJFINANCE,3303.0,3330.0,3344.0,3200.2,3237.95,3243.85,3269.76,4244428.0,1387827708585000.0,173392.0,590609.0,0.1391,3339.5,3343.9,3201.1,3242.85,3270.68198677157,135617.0,15985.0,443560079.0,24950.0,18.4,142.8,-96.65
