Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,TATASTEEL,401.4,402.7,412.9,395.2,408.7,410.55,405.04,18021051,729928216445000.0,129717.0,1488083.0,0.08259999999999999,403.1,413.0,395.25,410.35,405.2815658408528,500153,6861,202702791.0,34461.0,6.89,17.75,7.25
2020-10-29,TATASTEEL,402.3,399.45,405.0,395.3,400.35,401.4,400.4,13860410,554974545480000.0,123358.0,1400936.0,0.1011,399.1,405.05,395.55,401.25,400.3334325824868,560878,9338,224538215.0,150664.0,26.86,9.5,2.15
2020-10-28,TATASTEEL,411.0,411.45,418.2,400.45,401.8,402.3,409.63,16965755,694960494810000.0,162673.0,2422604.0,0.1428,411.05,418.0,400.5,402.3,407.8977287161145,598340,10077,244061527.0,115710.0,19.34,17.5,-8.75
2020-10-27,TATASTEEL,408.4,408.7,416.85,403.4,410.05,411.0,411.53,16062171,661013134050000.0,157903.0,2339370.0,0.1456,407.2,416.7,403.5,411.0,411.6089463357544,406714,6512,167407121.0,46710.0,11.48,13.2,3.8
2020-10-26,TATASTEEL,423.45,423.35,423.35,404.15,407.7,408.4,411.42,16608780,683312127395000.0,142661.0,2056721.0,0.1238,424.2,424.2,404.4,408.1,410.71592520562376,493620,6952,202737595.0,77166.0,15.63,19.8,-16.1
2020-10-23,TATASTEEL,409.65,413.0,426.0,412.2,423.05,423.45,420.48,28588850,1202097139180000.0,226121.0,3541218.0,0.1239,412.0,425.9,412.0,423.35,420.52928137320725,1161660,19213,488512045.0,334647.0,28.81,13.9,11.35
2020-10-22,TATASTEEL,404.05,401.9,413.55,400.1,411.7,409.65,407.63,20888422,851481444885000.0,170558.0,3350753.0,0.1604,402.8,413.35,400.1,409.95,408.1286308019168,515864,7492,210538868.0,47891.0,9.28,13.25,7.15
2020-10-21,TATASTEEL,392.4,396.3,408.0,394.35,403.7,404.05,402.36,26351958,1060286835270000.0,220168.0,2877097.0,0.1092,395.5,407.8,394.6,403.9,402.3735898286769,834739,12597,335876928.0,119732.0,14.34,13.2,8.4
2020-10-20,TATASTEEL,395.5,392.0,397.35,389.6,391.9,392.4,392.92,10949682,430231708425000.0,153428.0,2228745.0,0.2035,393.3,397.4,389.75,392.0,392.8711604603282,252081,4255,99035355.0,32256.0,12.8,7.65,-1.3
2020-10-19,TATASTEEL,393.85,397.6,400.0,391.8,395.55,395.5,396.03,14729994,583357279960000.0,131575.0,1704439.0,0.1157,396.6,400.0,391.55,395.3,395.8818351822948,568968,10263,225244096.0,156349.0,27.48,8.45,-1.3
2020-10-16,TATASTEEL,373.9,377.1,395.9,375.2,393.8,393.85,387.04,28855527,1116833405160000.0,271674.0,3180136.0,0.1102,375.6,395.75,375.45,393.85,387.24647425071856,941502,12826,364593330.0,149828.0,15.91,20.3,18.25
2020-10-15,TATASTEEL,375.55,381.0,388.6,371.5,372.6,373.9,381.38,31651023,1207104357335000.0,294260.0,4302657.0,0.1359,380.45,388.5,371.6,373.75,381.3544679858472,1577646,21507,601642351.0,268574.0,17.02,16.9,-6.7
2020-10-14,TATASTEEL,368.35,370.4,377.25,369.55,375.95,375.55,372.56,14892188,554816317255000.0,111570.0,1724677.0,0.1158,371.4,377.0,369.75,375.55,372.5854988629589,362344,5277,135004120.0,58360.0,16.11,7.25,4.15
