Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2020-10-30,TATAMOTORS,131.9,133.2,134.5,130.3,133.2,132.65,132.39,51128679,676912445940000.0,180110.0,6920409.0,0.1354,132.9,134.5,130.3,132.7,132.4636090204721,3535203.0,18730.0,468285748.0,651084.0,18.42,4.2,-0.2
2020-10-29,TATAMOTORS,134.8,132.0,133.0,130.0,132.0,131.9,131.45,66634175,875932343770000.1,227711.0,8562047.0,0.1285,132.4,133.0,130.0,131.9,131.46890677544206,3900882.0,25915.0,512844692.0,916335.0,23.49,3.0,-0.5
2020-10-28,TATAMOTORS,135.65,139.0,143.25,133.5,134.75,134.8,138.52,152361862,2110450602510000.0,473350.0,19139503.0,0.12560000000000002,138.2,143.15,133.5,134.8,138.84932478432765,10895926.0,67948.0,1512891968.0,3040571.0,27.91,9.65,-3.4
2020-10-27,TATAMOTORS,133.7,134.15,136.75,130.85,136.65,135.65,134.38,56861313,764115236375000.0,204736.0,6531131.0,0.1149,134.0,136.8,131.0,135.7,134.38018413021447,2354638.0,12645.0,316416688.0,349389.0,14.84,5.8,1.7
2020-10-26,TATAMOTORS,137.0,138.4,140.8,131.25,133.65,133.7,135.51,88533181,1199672099650000.0,310965.0,11495262.0,0.1298,139.4,140.75,131.2,133.65,135.68080232064435,6481648.0,37408.0,879435201.0,1296338.0,20.0,9.55,-5.75
2020-10-23,TATAMOTORS,133.5,134.9,138.9,134.1,136.65,137.0,136.74,68712845,939596677925000.0,254495.0,11024899.0,0.1604,134.85,138.9,134.15,137.0,136.6622606449048,3019050.0,20661.0,412590198.0,494597.0,16.38,4.75,2.15
2020-10-22,TATAMOTORS,130.25,129.7,134.6,128.45,134.25,133.5,131.66,48808808,642593030510000.0,182545.0,8726609.0,0.1788,129.05,134.5,128.45,133.45,131.82912076058753,3949368.0,28199.0,520641711.0,1584078.0,40.11,6.05,4.4
2020-10-21,TATAMOTORS,129.65,131.05,133.1,128.3,130.6,130.25,131.03,39252680,514347341585000.06,202411.0,8719914.0,0.2221,131.25,133.0,128.25,130.25,131.14071726968672,3493665.0,22814.0,458161734.0,1088569.0,31.16,4.75,-1.0
2020-10-20,TATAMOTORS,128.25,128.1,130.3,126.35,129.35,129.65,128.12,27470025,351946661935000.0,121548.0,6320344.0,0.23010000000000005,128.0,130.25,126.4,129.65,127.99384742482157,2072303.0,16666.0,265242034.0,679482.0,32.79,3.85,1.65
2020-10-19,TATAMOTORS,127.75,129.8,130.4,127.8,128.25,128.25,128.81,33161414,427135655410000.0,149958.0,7725211.0,0.233,130.7,130.7,127.85,128.25,128.77766233641586,1667032.0,13096.0,214676484.0,483445.0,29.0,2.85,-2.45
2020-10-16,TATAMOTORS,126.95,129.4,130.05,126.0,127.8,127.75,127.72,62554211,798962814330000.0,208292.0,12391424.0,0.1981,129.8,130.0,126.0,127.7,127.69056787603922,3339831.0,22617.0,426464917.0,821024.0,24.58,4.0,-2.1
